111-0022-01,158178.49996217084,67390.0593075855,1
111-0025-01,-27999.53440618604,-57262.6826286027,0
111-049-01,67529.91684571459,-18738.398340001157,2
126-0005-01,-34326.6886338886,19829.245542945166,0
126-0017-02,-43215.646384371874,-70960.67311100259,2
77-0155-01,-29645.38301857132,-74521.49583878893,0
126-0021-02,-34791.54252654153,-21313.423793750186,1
77-0249-05,3883.44998856405,86788.70227921358,1
126-0029-02,-34506.25868847977,42646.08226342658,1
126-0044-01,-23830.870256348575,39096.790224102224,1
126-0048-01,248317.5005117903,-33697.75980489135,0
126-0050-02,-16332.405636048428,80409.51805761401,2
126-0051-02,-34758.164304812875,5434.200281891781,1
126-0065-01,-31652.658178113245,16291.944252336187,0
126-0065-02,-36795.043926372186,6781.16936603235,2
126-0067-01,-67669.84573076523,8170.463940289251,1
126-0068-01,-5254.008167953226,-29813.129367555663,1
126-0069-02,-30887.265218546516,-34920.033215381416,1
126-0072-01,-40399.7967345479,4872.330806138577,1
126-0072-02,-8809.747843341629,-7175.7750150652455,2
126-0074-02,-4639.47229216105,-18451.502225185686,0
126-0075-01,65943.31515433312,-51541.95746881445,0
126-0077-02,-19808.118612690796,89579.13760907826,2
126-0078-01,-18530.231902832027,-48892.81312161409,0
77-0095-01,-8784.574289856855,42293.88728801696,0
77-0095-10,11535.682393828534,5970.52867326124,2
77-0097-01,9716.467368076263,48069.58111478269,0
77-0121-02,14000.852426698399,7720.719799232452,0
77-0121-03,16248.794519280906,16623.045662286204,2
77-0231-01,-15436.517489176547,3701.6746332719504,0
77-0231-06,13287.472504265861,-6822.340899533568,2
77-0233-01,-32396.99112998185,-91778.95432966492,0
77-0233-07,-58602.49726026775,-32199.400676269957,2
77-0234-02,73066.86886124412,-33990.11891250207,0
77-0247-03,31813.07818307998,-40676.96477229932,0
126-0047-01,-26084.047535850063,-17670.03868705793,0
126-0047-02,-11365.688188319205,-21397.326656377678,2
77-0041-02,6281.732746579175,14561.732720105516,0
77-0041-04,-11336.162652783953,19780.52325880113,2
77-0178-01,58299.42349376225,-57460.44675131965,2
77-0178-08,-6927.213496472641,-26981.851185316427,0
77-0235-03,8739.32259475403,11873.904824992109,0
77-0235-06,251877.728880134,-105815.1222910797,2
126-0100-01,-14573.869677352337,63317.40402137261,2
77-0025-01,25724.665712908514,127079.56172972113,0
111-0006-01,-21980.790462595865,1423.2369463994373,1
111-0007-01,-26375.470312916375,-60409.2416275523,1
111-0014-01,-12280.672203975735,20990.891559081338,1
111-0018-03,-12722.88286102919,56177.01954706317,1
111-0026-01,-12644.119710114137,31688.43216178301,1
111-0035-01,348.672152889402,72881.97883445084,1
111-0044-01,108573.37257395804,-79528.80380649277,1
